#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
P18507	2566	GBRG2	DB00659;DB00546;DB06579;DB00404;DB00543;DB11901;DB11859;DB01558;DB00237;DB00241;DB00395;DB00475;DB01594;DB00349;DB01068;DB00628;DB01559;DB01189;DB00829;DB00228;DB01215;DB00402;DB00189;DB09166;DB00292;DB01567;DB01205;DB01544;DB00690;DB01381;DB01437;DB00801;DB01159;DB00753;DB00555;DB00186;DB13872;DB00603;DB01043;DB00371;DB00463;DB01028;DB01107;DB15489;DB12458;DB01595;DB00334;DB00842;DB00312;DB00252;DB01708;DB01588;DB00794;DB00818;DB01589;DB01236;DB09118;DB00306;DB01956;DB00231;DB11582;DB00897;DB00425;
Q99928	2567	GBRG3	DB00659;DB00546;DB06579;DB00404;DB00543;DB11901;DB11859;DB01558;DB00237;DB00241;DB00475;DB01594;DB00349;DB01068;DB00628;DB01559;DB01189;DB00829;DB00228;DB01215;DB00402;DB00898;DB00189;DB00292;DB01567;DB01205;DB00690;DB01437;DB00801;DB01159;DB00753;DB00555;DB00186;DB00603;DB01043;DB00371;DB00463;DB01028;DB01107;DB15489;DB01595;DB00334;DB00842;DB00312;DB00252;DB01708;DB01588;DB00794;DB00818;DB01589;DB01236;DB09118;DB00306;DB01956;DB00231;DB11582;DB00897;
P24046	2569	GBRR1	DB00546;DB01558;DB01594;DB01559;DB00829;DB01215;DB01567;DB00690;DB00801;DB00431;DB01595;DB00842;DB00466;DB01588;DB01589;DB00231;DB00897;
P28476	2570	GBRR2	DB00546;DB01558;DB01594;DB01559;DB00829;DB01215;DB01567;DB00690;DB00801;DB01595;DB00842;DB01588;DB01589;DB00231;DB00897;
Q99259	2571	DCE1	DB00142;DB00114;
Q05329	2572	DCE2	DB00142;
Q13069	2577	GAGE5
O14976	2580	GAK	DB12010;
P54803	2581	GALC
Q14376	2582	GALE	DB03501;DB03095;DB03041;DB01861;DB02196;DB03397;
Q00973	2583	B4GN1
P51570	2584	GALK1	DB04395;
Q01415	2585	GALK2
P47211	2587	GALR1
P34059	2588	GALNS	DB09301;
Q10472	2589	GALT1
Q10471	2590	GALT2
Q14435	2591	GALT3
P07902	2592	GALT
Q14353	2593	GAMT	DB00148;DB02751;DB00536;DB13191;DB01752;
Q8TET4	2595	GANC	DB00491;
P17677	2596	NEUM
P04406	2597	G3P	DB07347;DB02059;DB11638;DB09130;DB00157;DB03893;DB09092;
P41250	2617	GARS	DB00145;
P22102	2618	PUR2	DB02236;DB03546;DB00642;
P54826	2619	GAS1
O43903	2620	GAS2
Q14393	2621	GAS6
O95995	2622	DRC4
P15976	2623	GATA1
P23769	2624	GATA2
P23771	2625	GATA3
P43694	2626	GATA4
Q92908	2627	GATA6
P50440	2628	GATM	DB04454;DB02068;DB02530;DB00145;DB04185;DB00129;
P04062	2629	GLCM	DB08283;DB03740;DB03106;DB06720;
O75323	2631	NIPS2
Q04446	2632	GLGB
P32455	2633	GBP1
P32456	2634	GBP2
Q9H0R5	2635	GBP3
P02774	2638	VTDB	DB01436;DB00136;DB00169;DB00153;DB04224;DB11094;
Q92947	2639	GCDH	DB03147;DB03245;
P01275	2641	GLUC
P47871	2642	GLR	DB00040;
P30793	2643	GCH1	DB02377;DB02325;
P30047	2644	GFRP
P35557	2645	HXK4	DB08118;DB08210;DB07358;DB07359;DB02379;DB01914;DB09341;DB09344;
Q14397	2646	GCKR
P78537	2647	BL1S1
Q92830	2648	KAT2A	DB01992;
Q15406	2649	NR6A1
Q02742	2650	GCNT1
Q8N0V5	2651	GNT2A
P04001	2652	OPSG
P0DN77	2652	OPSG2
P0DN78	2652	OPSG3
P23434	2653	GCSH	DB03187;DB03760;DB00145;
P27539	2657	GDF1
Q9UK05	2658	GDF2
O14793	2660	GDF8	DB05915;
O60383	2661	GDF9
P31150	2664	GDIA
P50395	2665	GDIB
P39905	2668	GDNF	DB09301;
P55040	2669	GEM
P14136	2670	GFAP
P55789	2671	ALR	DB03147;
Q99684	2672	GFI1
Q06210	2673	GFPT1
P56159	2674	GFRA1
O00451	2675	GFRA2
O60609	2676	GFRA3
P38435	2677	VKGC	DB01125;DB00100;DB13152;DB00036;DB00055;DB00142;DB09332;DB00170;DB01022;
P19440	2678	GGT1	DB00143;
P15291	2683	B4GT1	DB03814;DB02696;DB03501;DB03013;DB00141;DB03685;
Q9UJ14	2686	GGT7
P01241	2688	SOMA
P01242	2689	SOM2
P10912	2690	GHR	DB00082;DB00052;DB09098;
P01286	2691	SLIB
Q02643	2692	GHRHR	DB00010;DB08869;
Q92847	2693	GHSR	DB15488;DB13074;DB12128;
P27352	2694	IF	DB00115;
P09681	2695	GIP
P48546	2696	GIPR
P17302	2697	CXA1	DB01136;
Q9Y6H8	2700	CXA3
P35212	2701	CXA4
P36382	2702	CXA5
P48165	2703	CXA8
P08034	2705	CXB1
P29033	2706	CXB2
O75712	2707	CXB3
O95377	2709	CXB5
P32189	2710	GLPK
P06280	2717	AGAL	DB05018;
P51654	2719	GPC3
P16278	2720	BGAL
P48506	2729	GSH1	DB14001;DB00151;DB14002;DB00142;DB00163;
P48507	2730	GSH0	DB00151;DB00142;
P23378	2731	GCSP	DB00145;DB00114;
Q53GS7	2733	GLE1
Q92896	2734	GSLG1
P08151	2735	GLI1
P10070	2736	GLI2
P10071	2737	GLI3
Q04760	2739	LGUL	DB00143;DB00328;DB03345;DB08179;DB03330;DB03602;DB04132;DB03130;
P43220	2740	GLP1R	DB09043;DB09045;DB01276;DB00040;DB06655;DB09265;DB13928;
P23416	2742	GLRA2	DB00898;DB00145;DB00431;DB01043;DB00466;DB01956;
P48167	2743	GLRB	DB09061;DB00228;DB00145;DB00431;DB14009;DB01043;DB14011;DB05885;
O94925	2744	GLSK	DB13155;DB00142;DB09374;DB00130;
P35754	2745	GLRX1	DB00143;
P00367	2746	DHE3	DB11081;DB00142;DB04137;DB00756;DB00157;
P49448	2747	DHE4	DB00142;DB00157;
P15104	2752	GLNA	DB11118;DB06774;DB01212;DB01119;DB08794;DB00142;DB00130;DB00134;DB00082;DB00466;
P17900	2760	SAP3	DB04660;DB02325;DB03017;DB03633;DB08231;DB02261;
O60547	2762	GMDS	DB04315;DB02547;
P60983	2764	GMFB
P36959	2766	GMPR1	DB01972;
P29992	2767	GNA11
Q03113	2768	GNA12
P30679	2769	GNA15
P63096	2770	GNAI1	DB04315;DB04444;
P04899	2771	GNAI2
P08754	2773	GNAI3
P38405	2774	GNAL
P09471	2775	GNAO
P50148	2776	GNAQ
O95467	2778	GNAS3
P63092	2778	GNAS2	DB06843;DB02587;
P84996	2778	ALEX
Q5JWF2	2778	GNAS1
P11488	2779	GNAT1	DB02994;DB04315;DB04444;
P19087	2780	GNAT2
P19086	2781	GNAZ
P62873	2782	GBB1
P62879	2783	GBB2
P16520	2784	GBB3
P63215	2785	GBG3
P50150	2786	GBG4
P63218	2787	GBG5
O60262	2788	GBG7
P50151	2790	GBG10
P61952	2791	GBG11
P63211	2792	GBG1
O14610	2793	GBGT2
P36915	2794	GNL1
P01148	2796	GON1
O43555	2797	GON2
P30968	2798	GNRHR	DB00106;DB06719;DB00050;DB01406;DB06699;DB11979;DB06785;DB11619;DB00644;DB00014;DB06788;DB00007;DB00666;DB06494;DB05624;DB06825;
P15586	2799	GNS
Q92805	2800	GOGA1
Q08379	2801	GOGA2
Q08378	2802	GOGA3
Q13439	2803	GOGA4
Q14789	2804	GOGB1
P17174	2805	AATC	DB00128;DB09130;DB00151;DB00142;DB04299;DB00114;
P00505	2806	AATM	DB02783;DB00128;DB00142;DB00114;
P31947	2810	1433S
P07359	2811	GP1BA	DB09213;DB05202;DB01050;DB05391;
P13224	2812	GP1BB
P55259	2813	GP2
P40197	2814	GPV
P14770	2815	GPIX	DB00468;
P35052	2817	GPC1
P21695	2819	GPDA	DB00331;DB00157;
P43304	2820	GPDM
P06744	2821	G6PI	DB02093;DB03042;DB02076;DB02007;DB11638;DB09130;DB02548;DB03937;DB04493;DB03581;
P80108	2822	PHLD
P51674	2823	GPM6A
Q13491	2824	GPM6B
P46091	2825	GPR1
P46092	2826	CCR10
P46089	2827	GPR3
P46094	2829	XCR1
P48145	2831	NPBW1
P48146	2832	NPBW2
P49682	2833	CXCR3
P49683	2834	PRLHR
P47775	2835	GPR12	DB09061;DB14009;DB14011;
Q9UKP6	2837	UR2R
P49685	2838	GPR15
Q13304	2840	GPR17
Q15760	2842	GPR19
Q99678	2843	GPR20
Q99679	2844	GPR21
Q99680	2845	GPR22
Q99677	2846	LPAR4
Q99705	2847	MCHR1	DB00502;
O00155	2848	GPR25
Q8NDV2	2849	GPR26
O15354	2861	GPR37
O43193	2862	MTLR	DB00199;DB06587;
O43194	2863	GPR39
O14842	2864	FFAR1	DB00159;
O15552	2867	FFAR2
P32298	2868	GRK4
P34947	2869	GRK5
P43250	2870	GRK6
Q9HBH9	2872	MKNK2	DB12010;
Q13098	2873	CSN1
Q13227	2874	GPS2
P24298	2875	ALAT1	DB00160;DB00142;DB00780;DB00114;DB11767;
P07203	2876	GPX1	DB09061;DB00143;DB11091;DB14009;DB14011;DB09221;DB11127;DB11590;
P18283	2877	GPX2	DB00143;
P22352	2878	GPX3	DB00143;
P36969	2879	GPX4	DB00143;
Q96SL4	2882	GPX7	DB00143;
P62993	2885	GRB2	DB03276;DB00061;
Q14451	2886	GRB7
Q13322	2887	GRB10
Q14449	2888	GRB14
Q13905	2889	RPGF1
P42261	2890	GRIA1	DB06247;DB05047;DB01189;DB00228;DB00898;DB13146;DB00142;DB00753;DB01028;DB08883;DB01236;DB04982;DB09289;
P42262	2891	GRIA2	DB03319;DB08305;DB08304;DB08303;DB03240;DB02057;DB01664;DB07598;DB04152;DB02347;DB01351;DB04599;DB01352;DB01483;DB01496;DB04000;DB00237;DB00241;DB01353;DB05047;DB00898;DB03759;DB13146;DB02966;DB00142;DB01354;DB01355;DB02818;DB00463;DB00849;DB07455;DB00312;DB01174;DB00794;DB01346;DB02999;DB00418;DB04982;DB00306;DB04798;DB00599;DB04129;
P42263	2892	GRIA3	DB04599;DB05047;DB00898;DB13146;DB00142;DB14509;DB01356;DB14507;DB14508;DB04982;
P48058	2893	GRIA4	DB05047;DB00898;DB13146;DB00142;DB04982;
Q9ULK0	2894	GRID1	DB00142;
O43424	2895	GRID2	DB00142;
P28799	2896	GRN
P39086	2897	GRIK1	DB00142;DB06354;DB00273;
Q13002	2898	GRIK2	DB03425;DB01351;DB01352;DB01483;DB01496;DB00237;DB00241;DB01353;DB02852;DB00142;DB01354;DB01355;DB00463;DB00849;DB00312;DB01174;DB00794;DB02999;DB00418;DB00306;DB00599;DB00273;
Q13003	2899	GRIK3	DB00142;DB00273;
Q16099	2900	GRIK4	DB00142;DB00273;
Q16478	2901	GRIK5	DB00142;DB00273;
Q05586	2902	NMDZ1	DB01931;DB00659;DB06151;DB08838;DB01238;DB00289;DB05824;DB04620;DB03929;DB00843;DB11823;DB13146;DB06741;DB00142;DB00874;DB08954;DB06738;DB09409;DB09481;DB01043;DB00454;DB00333;DB04896;DB01173;DB00312;DB01174;DB01708;DB00418;DB00193;
Q12879	2903	NMDE1	DB00659;DB06151;DB01238;DB00289;DB00843;DB11823;DB00949;DB13146;DB06741;DB00142;DB00145;DB00874;DB01159;DB06738;DB09409;DB09481;DB01043;DB00454;DB00333;DB04896;DB00312;DB01174;DB01708;DB00418;DB01520;DB00193;
Q13224	2904	NMDE2	DB00659;DB06151;DB01238;DB00289;DB00843;DB11823;DB05956;DB00949;DB13146;DB06741;DB00142;DB00874;DB00502;DB08954;DB06738;DB06077;DB09409;DB09481;DB01043;DB00454;DB00333;DB04896;DB00312;DB01174;DB01708;DB00418;DB01956;DB01520;DB00193;
Q14957	2905	NMDE3	DB00659;DB01238;DB00289;DB00843;DB11823;DB13146;DB06741;DB00142;DB00145;DB00874;DB06738;DB09409;DB09481;DB01043;DB00454;DB00333;DB04896;DB00312;DB01174;DB01708;DB00418;DB01520;DB00193;
O15399	2906	NMDE4	DB00659;DB06151;DB01238;DB00289;DB00843;DB11823;DB13146;DB06741;DB00142;DB00874;DB06738;DB09409;DB09481;DB01043;DB00454;DB00333;DB04896;DB01173;DB00312;DB01174;DB01708;DB00418;DB01520;DB00193;
P04150	2908	GCR	DB00240;DB04630;DB00288;DB00394;DB00443;DB01222;DB01410;DB01013;DB13158;DB00838;DB01380;DB13003;DB11921;DB01260;DB00547;DB01234;DB00223;DB09095;DB06781;DB01395;DB00687;DB00663;DB00180;DB00591;DB01047;DB00324;DB01185;DB00846;DB13867;DB08906;DB00588;DB11619;DB02210;DB00769;DB00741;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB00367;DB14596;DB00253;DB00351;DB00959;DB00834;DB00764;DB14512;DB00717;DB12637;DB05423;DB01384;DB01130;DB00860;DB15566;DB00635;DB00396;DB00896;DB14583;DB00421;DB09091;DB00620;DB08867;DB00596;
Q9NRY4	2909	RHG35
Q13255	2911	GRM1	DB04256;DB00142;
Q14416	2912	GRM2	DB05096;
Q14832	2913	GRM3	DB05096;
Q14833	2914	GRM4	DB00142;
P41594	2915	GRM5	DB00659;DB05070;DB12733;DB06201;
O15303	2916	GRM6
Q14831	2917	GRM7	DB00142;
O00222	2918	GRM8	DB00142;
P09341	2919	GROA
P19875	2920	CXCL2
P19876	2921	CXCL3
P07492	2922	GRP
P30101	2923	PDIA3	DB09130;DB01593;DB14487;DB14533;
P30550	2925	GRPR
Q12849	2926	GRSF1
O15499	2928	GSC2
P49840	2931	GSK3A	DB12010;
P49841	2932	GSK3B	DB08073;DB07149;DB07014;DB07676;DB01772;DB07859;DB07585;DB07058;DB03444;DB04014;DB12010;DB02052;DB07947;DB14509;DB01356;DB14507;DB14508;DB01950;DB07812;DB07584;DB04395;DB01793;DB02010;DB12129;
P06396	2934	GELS	DB09130;DB02621;DB01593;DB14487;DB14533;
P15170	2935	ERF3A	DB04315;
P00390	2936	GSHR	DB07393;DB01644;DB02895;DB02153;DB07714;DB09061;DB00262;DB09110;DB09130;DB03147;DB00143;DB03310;DB02553;DB14009;DB03867;DB14011;DB00157;DB11135;DB11590;
P48637	2937	GSHB	DB06151;DB09130;DB00151;DB03408;DB00143;DB00145;DB04395;
P08263	2938	GSTA1	DB02486;DB00993;DB01008;DB11672;DB00143;DB03003;DB13014;DB02943;DB03602;DB04132;DB01915;
P09210	2939	GSTA2	DB14001;DB00993;DB01008;DB00608;DB00636;DB14002;DB00903;DB00143;DB00163;
Q16772	2940	GSTA3	DB00143;DB04521;
O15217	2941	GSTA4	DB00143;
P09488	2944	GSTM1	DB01834;DB04187;DB03314;DB00316;DB00993;DB01008;DB00958;DB00515;DB11672;DB00143;DB00526;DB02458;DB02165;
P28161	2946	GSTM2	DB00143;DB03310;DB02458;DB04701;
P21266	2947	GSTM3	DB14001;DB14002;DB00143;DB00163;
Q03013	2948	GSTM4	DB03706;DB03597;DB00143;DB03003;DB04132;DB03032;
P46439	2949	GSTM5	DB00143;
P09211	2950	GSTP1	DB01834;DB03814;DB00316;DB14001;DB01008;DB04972;DB04339;DB00958;DB00291;DB02633;DB00515;DB01242;DB00363;DB11672;DB14635;DB14002;DB03619;DB11831;DB00903;DB00773;DB06246;DB05460;DB00143;DB03003;DB09462;DB13014;DB00526;DB08370;DB03686;DB04132;DB01915;DB07849;DB01015;DB00197;DB00163;
P30711	2952	GSTT1	DB00958;DB00515;DB00773;DB00143;DB00526;DB09221;
P0CG29	2953	GST2	DB04132;
O43708	2954	MAAI	DB04447;DB08809;DB00143;
P52701	2956	MSH6
P52655	2957	TF2AA
P52657	2958	T2AG
Q00403	2959	TF2B
P29083	2960	T2EA
P29084	2961	T2EB
P35269	2962	T2FA
P13984	2963	T2FB
P32780	2965	TF2H1
Q13888	2966	TF2H2
Q13889	2967	TF2H3
Q92759	2968	TF2H4
P78347	2969	GTF2I
Q92664	2971	TF3A
Q92994	2972	TF3B
Q12789	2975	TF3C1
Q8WUA4	2976	TF3C2
P33402	2977	GCYA2	DB01020;DB13749;DB09241;DB09282;DB00435;DB06154;DB13170;DB08931;
P43080	2978	GUC1A	DB08231;
Q9UMX6	2979	GUC1B
Q02747	2980	GUC2A
Q16661	2981	GUC2B
Q02108	2982	GCYA1
Q02153	2983	GCYB1
P25092	2984	GUC2C	DB08890;
P51841	2986	GUC2F
Q16774	2987	KGUA	DB00787;DB01972;DB00577;
P08236	2990	BGLR	DB09301;DB11793;DB09340;
P46976	2992	GLYG	DB01861;DB03435;
P02724	2993	GLPA
P06028	2994	GLPB
P04921	2995	GLPC
P13807	2997	GYS1
P54840	2998	GYS2
P20718	2999	GRAH
Q02846	3000	GUC2D
P12544	3001	GRAA
P10144	3002	GRAB
P49863	3003	GRAK
P51124	3004	GRAM
P07305	3005	H10
P16403	3006	H12
P16402	3007	H13
P10412	3008	H14	DB09130;
P16401	3009	H15
P22492	3010	H1T
P20671	3013	H2A1D
P16104	3014	H2AX
P0C0S5	3015	H2AZ
P58876	3017	H2B1D
P33778	3018	H2B1B
P84243	3020,3021	H33
Q02539	3024	H11
Q14520	3026	HABP2	DB08818;
Q99714	3028	HCD2	DB02820;DB00157;DB09568;
Q16775	3029	GLO2	DB00143;DB03889;
P40939	3030	ECHA	DB00157;
P55084	3032	ECHB
Q16836	3033	HCDH	DB03612;DB03059;DB00157;DB09568;
P42357	3034	HUTH	DB00117;
P12081	3035	HARS1	DB00117;
Q92839	3036	HYAS1
Q92819	3037	HYAS2
O00219	3038	HYAS3
P69905	3039,3040	HBA	DB08632;DB08262;DB07427;DB08077;DB07428;DB02126;DB09130;DB08486;DB09147;DB13995;DB14490;DB14491;DB14488;DB14501;DB14489;DB01592;DB00893;DB09146;DB00358;DB09112;DB09140;DB06154;DB07645;DB09517;DB14975;DB01593;DB14487;DB14533;
P68871	3043	HBB	DB08632;DB08262;DB07427;DB08077;DB07428;DB02126;DB09130;DB08486;DB09147;DB13995;DB00893;DB09112;DB09140;DB06154;DB07645;DB09517;DB01593;DB14487;DB14533;
P02042	3045	HBD
P02100	3046	HBE
P69891	3047	HBG1
P69892	3048	HBG2
P09105	3049	HBAT
P02008	3050	HBAZ
P53701	3052	CCHL
P05546	3053	HEP2	DB00407;DB09258;DB09130;DB06271;DB01593;DB14487;DB14533;
P51610	3054	HCFC1
P08631	3055	HCK	DB01809;DB06616;DB12010;DB01962;DB04216;
P14317	3059	HCLS1
O43612	3060	OREX	DB03088;
O43613	3061	OX1R	DB11951;DB09034;
O43614	3062	OX2R	DB11951;DB09034;
P42858	3064	HD	DB09130;
Q13547	3065	HDAC1	DB12565;DB01169;DB05015;DB08868;DB11830;DB06603;DB05223;DB06176;DB02546;DB01593;DB14487;DB14533;
Q92769	3066	HDAC2	DB01223;DB01076;DB05015;DB01095;DB00227;DB11830;DB01303;DB06603;DB05223;DB00175;DB06176;DB00641;DB00277;DB09091;DB00313;DB02546;
P19113	3067	DCHS	DB00117;DB00114;
P51858	3068	HDGF	DB09130;
Q00341	3069	VIGLN
Q9NRZ9	3070	HELLS
P55160	3071	NCKPL
P06865	3073	HEXA
P07686	3074	HEXB	DB03861;DB02813;DB03747;DB09301;DB00205;
P08603	3075	CFAH	DB09130;DB01593;DB14487;DB14533;
Q30201	3077	HFE
Q03591	3078	FHR1
P36980	3080	FHR2
Q93099	3081	HGD
P14210	3082	HGF	DB05434;DB12307;DB01109;DB03959;DB02264;
Q04756	3083	HGFA
Q02297	3084	NRG1
Q03014	3087	HHEX
Q14526	3090	HIC1
Q16665	3091	HIF1A	DB02342;DB01136;DB05959;DB08687;DB01275;DB06082;
O00291	3092	HIP1
P61086	3093	UBE2K
P49773	3094	HINT1	DB02162;DB03349;DB00131;DB02183;DB01972;DB08934;
P15822	3096	ZEP1
P31629	3097	ZEP2
P19367	3098	HXK1	DB02007;DB02379;DB01914;DB09341;DB09502;DB06266;DB04395;
P52789	3099	HXK2
P52790	3101	HXK3
P10074	3104	TZAP
P04439	3105	HLAA	DB02740;DB11294;DB06226;
P01889	3106	HLAB	DB01048;DB11294;DB04464;
P10321	3107	HLAC
P28068	3109	DMB
P50219	3110	MNX1
P06340	3111	DOA
P13765	3112	DOB
P20036	3113	DPA1
P04440	3115	DPB1
P01909	3117	DQA1
P01906	3118	DQA2	DB00071;
P01920	3119	DQB1	DB00071;
P05538	3120	DQB2
P01903	3122	DRA	DB05121;DB11294;
P01911	3123	DRB	DB05121;DB11294;DB05259;
P79483	3125	DRB3	DB05121;DB11294;
P13762	3126	DRB4	DB05121;DB11294;
Q30154	3127	DRB5	DB05121;DB11294;
Q16534	3131	HLF
P13747	3133	HLAE
P30511	3134	HLAF
P17693	3135	HLAG
Q95460	3140	HMR1	DB00098;
P50747	3141	BPL1	DB00121;
Q14774	3142	HLX
P08397	3145	HEM3
P09429	3146	HMGB1	DB05869;
P26583	3148	HMGB2
O15347	3149	HMGB3
P05114	3150	HMGN1
P05204	3151	HMGN2
P35914	3155	HMGCL	DB04594;
P04035	3156	HMDH	DB03169;DB04447;DB01076;DB09061;DB00439;DB01992;DB01095;DB00227;DB14009;DB04377;DB06693;DB14011;DB00157;DB03461;DB08860;DB00175;DB01098;DB00641;DB05317;DB09270;
Q01581	3157	HMCS1	DB07740;
P54868	3158	HMCS2
P17096	3159	HMGA1
O75330	3161	HMMR	DB08818;
P09601	3162	HMOX1	DB07342;DB06914;DB02468;DB03906;DB14001;DB02073;DB14002;DB01942;DB00157;DB09221;DB04912;DB04803;DB00163;
P30519	3163	HMOX2	DB00157;DB04912;
P22736	3164	NR4A1
A2RU54	3167	HMX2
P55317	3169	FOXA1
Q9Y261	3170	FOXA2
P55318	3171	FOXA3
P41235	3172	HNF4A	DB05447;DB03017;DB08231;
Q14541	3174	HNF4G	DB03796;
Q9UBC0	3175	HNF6
P50135	3176	HNMT	DB07106;DB00613;DB00878;DB13875;DB05381;DB04655;DB01103;DB01752;
Q14542	3177	S29A2	DB00900;DB00898;DB00441;DB01033;DB09327;DB00432;DB00943;DB00495;
P09651	3178	ROA1
P22626	3181	ROA2	DB11638;DB09130;
Q99729	3182	ROAA
P07910	3183	HNRPC
Q14103	3184	HNRPD	DB11638;
P52597	3185	HNRPF	DB12695;
P31943	3187	HNRH1	DB09130;
P55795	3188	HNRH2
P31942	3189	HNRH3	DB09130;
P61978	3190	HNRPK	DB11638;DB12695;
P14866	3191	HNRPL	DB09130;
Q00839	3192	HNRPU
P31314	3195	TLX1
O43763	3196	TLX2
P49639	3198	HXA1
O43364	3199	HXA2
O43365	3200	HXA3
P20719	3202	HXA5
P31267	3203	HXA6
P31268	3204	HXA7
P31269	3205	HXA9
P31260	3206	HXA10	DB00136;
P31270	3207	HXA11
P84074	3208	HPCA
P31271	3209	HXA13
P14653	3211	HXB1
P14652	3212	HXB2
P14651	3213	HXB3
P17483	3214	HXB4
P09067	3215	HXB5
P17509	3216	HXB6
P09629	3217	HXB7
P17481	3218	HXB8
P17482	3219	HXB9
P09017	3221	HXC4
Q00444	3222	HXC5
P09630	3223	HXC6
P31273	3224	HXC8
P31274	3225	HXC9
Q9NYD6	3226	HXC10
O43248	3227	HXC11
P31276	3229	HXC13
Q9GZZ0	3231	HXD1
P31249	3232	HXD3
P09016	3233	HXD4
P13378	3234	HXD8
P28356	3235	HXD9
P28358	3236	HXD10
P31277	3237	HXD11
P35452	3238	HXD12
P35453	3239	HXD13
P00738	3240	HPT
P37235	3241	HPCL1
P32754	3242	HPPD	DB02850;DB00348;
P15428	3248	PGDH	DB00157;
P05981	3249	HEPS	DB03865;DB00522;DB03297;DB00036;DB03643;
P00739	3250	HPTR	DB09130;DB01593;DB14487;DB14533;
P00492	3251	HPRT	DB03153;DB02309;DB01632;DB04356;DB00993;DB01033;DB00352;
Q92902	3257	HPS1
P02790	3263	HEMO
P01112	3265	RASH	DB04315;DB04137;DB02210;DB08751;DB03226;
Q7Z444	3266	RASE
P52594	3267	AGFG1
O95081	3268	AGFG2
P35367	3269	HRH1	DB01615;DB09488;DB06766;DB01246;DB00321;DB00543;DB08799;DB01238;DB14185;DB06216;DB00637;DB00719;DB00972;DB00245;DB00767;DB04890;DB06698;DB11591;DB01237;DB00835;DB00354;DB09016;DB00748;DB06016;DB00341;DB08936;DB08800;DB01114;DB00477;DB01239;DB00568;DB00215;DB00283;DB04837;DB00363;DB01176;DB00434;DB01151;DB00967;DB00405;DB09555;DB00985;DB08801;DB01075;DB01146;DB09167;DB01142;DB00366;DB01084;DB05492;DB00751;DB01175;DB06678;DB00950;DB04841;DB00502;DB05381;DB05079;DB00557;DB04946;DB00458;DB08802;DB00920;DB00555;DB01106;DB06282;DB00455;DB09195;DB00408;DB00934;DB00737;DB06691;DB01071;DB00902;DB01403;DB06148;DB00370;DB00540;DB05080;DB06229;DB00334;DB00768;DB01173;DB01267;DB00715;DB08922;DB01619;DB01620;DB06153;DB00433;DB00420;DB01069;DB00777;DB01224;DB00734;DB11614;DB05345;DB00342;DB04905;DB11235;DB00797;DB00656;DB00726;DB00792;DB00427;DB00246;DB01624;
P23327	3270	SRCH
P04196	3273	HRG
P25021	3274	HRH2	DB00321;DB01238;DB06216;DB00972;DB00272;DB00501;DB01142;DB00751;DB00927;DB05381;DB05369;DB00408;DB00940;DB08805;DB00585;DB00768;DB01069;DB00863;DB08806;DB00797;
P55345	3275	ANM2
Q99873	3276	ANM1	DB01752;
Q14469	3280	HES1
O75506	3281	HSBP1
P26439	3284	3BHS2	DB01285;DB00603;DB00157;DB00717;DB09070;DB01108;
P28845	3290	DHI1	DB08280;DB07049;DB06992;DB08771;DB07866;DB07310;DB07017;DB07624;DB08277;DB07056;DB03814;DB02329;DB04652;DB01234;DB00687;DB13751;DB00741;DB05064;DB00959;DB07619;DB07316;DB00461;DB00157;DB03461;DB00635;
P80365	3291	DHI2	DB01234;DB00687;DB01185;DB01569;DB00741;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB00959;DB00157;
P14061	3292	DHB1	DB01561;DB01536;DB02323;DB02187;DB00157;DB03461;DB01708;DB02901;DB13951;
P37058	3293	DHB3	DB00157;
P51659	3295	DHB4	DB03192;DB00157;
Q00613	3297	HSF1	DB06258;
Q03933	3298	HSF2
Q9ULV5	3299	HSF4
P25686	3300	DNJB2
P31689	3301	DNJA1
P0DMV8	3303,3304	HS71A
P0DMV9	3303,3304	HS71B
P34931	3305	HS71L
P54652	3306	HSP72	DB04216;
P34932	3308	HSP74	DB12695;
P11021	3309	BIP	DB00945;DB00025;DB09130;DB13998;DB13999;
P17066	3310	HSP76
P11142	3312	HSP7C	DB07045;DB11638;DB09130;DB01254;
P38646	3313	GRP75
P04792	3315	HSPB1	DB06094;DB11638;DB12695;
Q16082	3316	HSPB2
P07900	3320	HS90A	DB07317;DB08197;DB08443;DB08557;DB08789;DB06969;DB08788;DB07324;DB02840;DB03749;DB08787;DB08786;DB07594;DB07502;DB07100;DB06957;DB07601;DB08194;DB08442;DB07495;DB06964;DB06961;DB06958;DB07319;DB03137;DB03093;DB02550;DB04505;DB07877;DB04254;DB08436;DB04054;DB02359;DB03504;DB02754;DB03809;DB03899;DB12442;DB09130;DB02424;DB06956;DB07325;DB04588;DB00716;DB09221;DB04216;DB00615;DB06070;DB05134;
O75054	3321	IGSF3
P08238	3326	HS90B	DB08293;DB08153;DB08292;DB08346;DB08465;DB07594;DB08045;DB07877;DB02754;DB02424;DB08464;DB09221;DB03758;DB06070;DB05134;
P10809	3329	CH60	DB09130;
P61604	3336	CH10	DB12695;
P25685	3337	DNJB1
Q9NNZ3	3338	DNJC4
P98160	3339	PGBM	DB00039;
P52848	3340	NDST1	DB01812;
P32314	3344	FOXN2
P15515	3346	HIS1
P15516	3347	HIS3
