#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
P25100	146	ADA1D	DB00346;DB00321;DB00543;DB00182;DB09229;DB09204;DB01200;DB00490;DB00248;DB01136;DB00477;DB09202;DB00575;DB00298;DB01151;DB11273;DB13345;DB11278;DB00841;DB09167;DB00590;DB01142;DB04855;DB06262;DB05492;DB00668;DB01049;DB00696;DB01175;DB09194;DB00800;DB00458;DB11577;DB00598;DB09195;DB00934;DB01365;DB01403;DB00723;DB06148;DB00211;DB00370;DB09205;DB00622;DB00368;DB00540;DB06229;DB00935;DB00715;DB01186;DB08922;DB00925;DB00692;DB00388;DB09286;DB06153;DB00457;DB00433;DB00420;DB00777;DB01224;DB00908;DB05469;DB11124;DB00243;DB00268;DB06144;DB06207;DB09203;DB00706;DB01162;DB13025;DB00697;DB00661;DB06694;
P35368	147	ADA1B	DB01614;DB00346;DB00321;DB00543;DB00182;DB09229;DB01238;DB14185;DB09204;DB09128;DB01200;DB00490;DB00248;DB01136;DB00477;DB09202;DB00575;DB00363;DB00298;DB01151;DB01576;DB11273;DB13345;DB11278;DB00841;DB09167;DB00590;DB01142;DB04855;DB06262;DB05492;DB00668;DB01049;DB00696;DB01175;DB09194;DB00800;DB00458;DB11577;DB00598;DB09195;DB00408;DB00934;DB01365;DB01403;DB00723;DB06148;DB00211;DB00370;DB00745;DB09205;DB01149;DB00622;DB00368;DB00540;DB06229;DB00334;DB00935;DB01267;DB00715;DB01186;DB01608;DB08922;DB01579;DB00925;DB00692;DB00388;DB09286;DB06153;DB00457;DB00433;DB00420;DB00777;DB01224;DB00908;DB05469;DB11124;DB00243;DB00734;DB00268;DB06144;DB06207;DB09203;DB00706;DB01162;DB01622;DB00679;DB13025;DB00697;DB00726;DB00661;DB06694;DB00246;
P35348	148	ADA1A	DB01472;DB01614;DB00346;DB00321;DB00543;DB00182;DB00964;DB09229;DB01238;DB14185;DB09204;DB06216;DB00865;DB01295;DB01200;DB00490;DB00248;DB01136;DB00477;DB09202;DB00575;DB00363;DB00298;DB01151;DB01576;DB11273;DB13345;DB00449;DB11278;DB00841;DB09167;DB00590;DB01142;DB04855;DB00450;DB06262;DB01364;DB05492;DB00751;DB00668;DB01049;DB01253;DB00696;DB01175;DB09194;DB00800;DB00875;DB00502;DB04946;DB00458;DB11577;DB08950;DB06706;DB00598;DB00555;DB04948;DB09195;DB00408;DB00934;DB01365;DB00610;DB01403;DB00723;DB06148;DB00211;DB00370;DB09205;DB06711;DB01149;DB00622;DB00699;DB09239;DB00368;DB00540;DB06229;DB00334;DB00935;DB01267;DB00715;DB01186;DB08922;DB01579;DB00925;DB00692;DB00388;DB09286;DB06153;DB00457;DB00433;DB00420;DB01069;DB00777;DB12278;DB00852;DB01224;DB00908;DB05469;DB11124;DB00243;DB00734;DB00268;DB06144;DB06207;DB09203;DB00706;DB01162;DB06764;DB01622;DB00679;DB13025;DB00697;DB00797;DB00656;DB00831;DB00726;DB00661;DB06694;DB00246;DB01624;
P08913	150	ADA2A	DB01472;DB00321;DB00543;DB00182;DB00714;DB00964;DB09229;DB01238;DB14185;DB06216;DB00865;DB00217;DB00484;DB01200;DB00248;DB01136;DB04846;DB00477;DB09202;DB00575;DB00363;DB01151;DB00633;DB11273;DB13345;DB00320;DB00449;DB11278;DB09167;DB04855;DB06262;DB01363;DB05492;DB00751;DB00668;DB01049;DB00696;DB01175;DB06678;DB09194;DB00800;DB06623;DB00629;DB01018;DB00502;DB11577;DB00555;DB06707;DB00589;DB04948;DB09195;DB00408;DB08815;DB00934;DB01365;DB01577;DB01403;DB00968;DB06148;DB00370;DB09205;DB09242;DB06711;DB01149;DB00368;DB00540;DB06229;DB00935;DB01267;DB00715;DB01186;DB01608;DB00925;DB00692;DB00397;DB09286;DB09244;DB06153;DB00413;DB00457;DB00433;DB00852;DB01224;DB11124;DB11738;DB00734;DB00268;DB09304;DB13025;DB00697;DB00797;DB00193;DB00656;DB00726;DB11477;DB06694;DB01392;DB00246;DB01624;
P18089	151	ADA2B	DB00543;DB00182;DB00714;DB00964;DB09229;DB01238;DB14185;DB06216;DB00217;DB00484;DB01200;DB00248;DB01136;DB04846;DB00477;DB09202;DB00575;DB00363;DB01151;DB11273;DB13345;DB11278;DB09167;DB04855;DB06262;DB01363;DB05492;DB00668;DB01049;DB00696;DB01175;DB06678;DB00292;DB09194;DB00800;DB00629;DB01018;DB00502;DB11577;DB06707;DB00589;DB09195;DB00408;DB00934;DB01365;DB01577;DB01403;DB06148;DB09205;DB00368;DB00540;DB06229;DB05461;DB00935;DB01267;DB00715;DB01186;DB00925;DB00397;DB06153;DB00457;DB00433;DB01224;DB11124;DB00734;DB00268;DB05271;DB09304;DB13025;DB00697;DB00797;DB00193;DB00726;DB11477;DB06694;DB01392;DB00246;
P18825	152	ADA2C	DB08838;DB00543;DB00182;DB00714;DB09229;DB01238;DB14185;DB06216;DB00217;DB09128;DB00484;DB01200;DB00248;DB01136;DB04846;DB00477;DB09202;DB00575;DB00363;DB01151;DB11273;DB13345;DB11278;DB09167;DB04855;DB06262;DB01363;DB05492;DB01049;DB01175;DB06678;DB09194;DB00800;DB00502;DB04946;DB11577;DB06707;DB00589;DB09195;DB00408;DB08815;DB00934;DB01365;DB01577;DB01403;DB06148;DB09205;DB00368;DB00540;DB06229;DB05461;DB00935;DB01267;DB00715;DB01186;DB00925;DB00397;DB06153;DB00433;DB01224;DB11124;DB00734;DB00268;DB09304;DB13025;DB00697;DB00797;DB00193;DB11477;DB06694;DB01392;DB00246;
P08588	153	ADRB1	DB08558;DB08347;DB01193;DB00866;DB01118;DB00182;DB01102;DB01238;DB09204;DB06216;DB00335;DB09013;DB00195;DB00217;DB01295;DB00612;DB08807;DB06726;DB08808;DB00248;DB00521;DB01136;DB04846;DB01407;DB01151;DB11273;DB13345;DB11278;DB00841;DB04855;DB06262;DB01363;DB00668;DB01049;DB00187;DB01288;DB00983;DB00221;DB01064;DB00598;DB00555;DB09351;DB01210;DB00408;DB01365;DB01214;DB00264;DB01203;DB04861;DB00368;DB00540;DB00334;DB01580;DB00715;DB01359;DB00397;DB00960;DB01291;DB01297;DB01182;DB00571;DB00852;DB01917;DB11124;DB00243;DB01001;DB00938;DB00489;DB03566;DB00127;DB00871;DB00373;DB00726;DB09068;DB13781;
P07550	154	ADRB2	DB07543;DB01193;DB00866;DB00182;DB01102;DB01274;DB01238;DB09204;DB06216;DB00335;DB01408;DB05590;DB09013;DB00195;DB00217;DB01295;DB00612;DB00901;DB08807;DB06726;DB08808;DB00248;DB00521;DB01136;DB04846;DB01407;DB01151;DB11273;DB13345;DB00449;DB11278;DB00841;DB09273;DB06262;DB01363;DB00668;DB01049;DB11587;DB01288;DB00983;DB05039;DB00221;DB01064;DB00598;DB01210;DB13139;DB01365;DB01214;DB00264;DB01203;DB05849;DB04861;DB00368;DB00540;DB00334;DB09080;DB00816;DB01580;DB00715;DB01359;DB00925;DB00397;DB00960;DB01291;DB01366;DB01182;DB00571;DB06814;DB00852;DB01917;DB11124;DB00867;DB01001;DB00938;DB00489;DB03566;DB00127;DB00871;DB00373;DB00726;DB12248;DB09082;
P13945	155	ADRB3	DB00866;DB05395;DB00182;DB01102;DB00217;DB08807;DB06726;DB08808;DB04846;DB01407;DB11273;DB13345;DB11278;DB06262;DB01363;DB01049;DB01288;DB00983;DB01064;DB01365;DB08893;DB04861;DB00368;DB00540;DB00334;DB01580;DB00715;DB00960;DB00571;DB11124;DB01001;DB00938;DB06190;DB00871;DB00726;
P25098	156	ARBK1	DB00171;
