DrugBankID_InteractorA	DrugBankID_InteractorB	Adverse
DB00334	DB00502	N
DB00334	DB00810	N
DB00334	DB00734	N
DB00334	DB01224	N
DB00334	DB00472	N
DB00695	DB00872	N
DB00695	DB00978	N
DB00921	DB01183	N
DB00190	DB01235	N
DB00222	DB00980	N
DB00222	DB01132	N
DB00222	DB00412	N
DB00647	DB00945	N
DB00343	DB08868	N
DB00912	DB00030	N
DB00241	DB00945	N
DB00241	DB00316	N
DB00627	DB00945	N
DB00627	DB00973	N
DB00627	DB00641	N
DB00227	DB00627	N
DB00281	DB01234	N
DB00281	DB00297	N
DB00281	DB01212	N
DB00281	DB00878	N
DB00281	DB00668	N
DB00073	DB01234	N
DB00073	DB00078	N
DB00073	DB00480	N
DB00073	DB01073	N
DB00433	DB00398	N
DB00433	DB00586	N
DB00433	DB00836	N
DB00741	DB03904	N
DB00869	DB00373	N
DB00869	DB06288	N
DB00869	DB00800	N
DB00652	DB00945	N
DB00652	DB01183	N
DB01001	DB00332	N
DB00472	DB00734	N
DB00472	DB00656	N
DB00472	DB00215	N
DB00472	DB01224	N
DB00472	DB01242	N
DB00363	DB01238	N
DB00363	DB00734	N
DB00363	DB06288	N
DB00363	DB01224	N
DB00363	DB00334	N
DB00363	DB00472	N
DB00201	DB00696	N
DB00335	DB00999	N
DB00335	DB01115	N
DB00335	DB00436	N
DB00335	DB08868	N
DB00661	DB00999	N
DB00661	DB01149	N
DB00661	DB01356	N
DB01023	DB01029	N
DB00384	DB00999	N
DB00421	DB01173	N
DB00421	DB00695	N
DB00669	DB00285	N
DB00669	DB00404	N
DB00371	DB00945	N
DB00213	DB00563	N
DB00318	DB01114	N
DB00318	DB01069	N
DB01394	DB01032	N
DB06203	DB04878	N
DB06203	DB00030	N
DB01016	DB06203	N
DB00813	DB00999	N
DB00813	DB00321	N
DB00813	DB00575	N
DB00813	DB00586	N
DB00813	DB00878	N
DB00813	DB00907	N
DB00813	DB00421	N
DB00813	DB00381	N
DB00813	DB00433	N
DB00813	DB01234	N
DB00813	DB01069	N
DB00813	DB00904	N
DB00813	DB00450	N
DB00813	DB00683	N
DB00813	DB00829	N
DB01050	DB00388	N
DB01050	DB00497	N
DB01050	DB00318	N
DB00203	DB06710	N
DB00203	DB00820	N
DB00203	DB01088	N
DB00641	DB00398	N
DB00641	DB00694	N
DB00641	DB01259	N
DB00641	DB02546	N
DB00641	DB00188	N
DB00641	DB04868	N
DB00641	DB01268	N
DB00641	DB08881	N
DB00641	DB06616	N
DB00641	DB00060	N
DB00641	DB01076	N
DB00641	DB00175	N
DB00641	DB01039	N
DB00788	DB00669	N
DB00788	DB01075	N
DB00788	DB00852	N
DB00015	DB00054	N
DB01274	DB00588	N
DB01274	DB01409	N
DB00973	DB00641	N
DB00973	DB01076	N
DB00497	DB01183	N
DB00497	DB00327	N
DB00497	DB00945	N
DB00030	DB06335	N
DB00030	DB00041	N
DB01036	DB00999	N
DB00368	DB00843	N
DB00368	DB00841	N
DB00368	DB02638	N
DB00104	DB00211	N
DB00734	DB00843	N
