# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
central nervous system diseases	428	308	125	5173;374654;1141;2717;2653;23209;255928;57449;1981;8622;8890;5476;215;3251;55145;5071;5654;285362;85300;2521;5824;7305;5626;146057;2743;7054;64374;2566;540;6323;26580;7957;2153;283;348;3508;80025;7415;54209;5144;4973;10133;10528;3708;83943;11277;9179;3785;8022;6792;27429;6712;203228;7080;2998;55103;7443;5264;59;5261;6658;54840;3242;2629;3565;51;2997;2147;6310;79738;410;411;6314;65018;129880;538;2778;6647;593;5189;6606;57465;55737;3778;4668;950;2562;275;57194;5660;1822;6389;4204;6908;6326;2542;5256;4728;5255;5091;5092;2548;4723;443;9570;81622;367;25814;875;427;585;582;583;3748;1738;80184;5009;2760;1137;2259;1135;383;241;445;7098;4541;5582;846;9640;3736;5583;4758;55129;51057;378884;25978;5080;6507;8892;8891;2571;23064;2670;6311;144165;3897;5828;4952;435;54822;112476;146227;2617;57679;4137;8504;2592;6834;4540;123016;56997;5663;7345;5621;23400;5664;6609;2896;166336;10020;594;27241;26503;4538;1636;8195;7157;4535;4536;4537;1373;5236;4744;8820;2688;22954;84059;9409;5860;5836;9131;2584;10157;2581;785;51204;55277;1355;1861;23431;3073;3074;340024;23435;2184;23230;120892;95;25793;6403;5428;57192;84100;29978;1629;4524;2582;5224;51128;4864;343641;338567;2554;2517;2692;2512;56652;2737;1181;2731;114327;747;54664;8893;10165;23345;59341;3064;2934;6898;23189;10577;6622;5053;1814;472;23636;6335;5195;5194;9217;1967;5191;5190;5193;5192;2741;5257;26058;79158;10939;6607;55775;4598;170302;9896;5160;79809;5162;84572;8398;773;2720;55212;9445;2395;5521;1639;1352;114798;9049;5354;80704;11315;9211;4508;4287;7337;166379;3786;154881;5830;1282;9627;7132;8912;1585;1471;1476;477;351;91147;55670;374291;4854;2563;54903;3198	162540;344558;10452;8301;92949;10347;203238;100270961;3122;1946;5621;203228;29119;341;4862;1378;646583;23607;4336;998;22920;23271;1495;100128646;27074;27072;5308;80036;79970;79031;56922;400403;4137;926;9037;337880;57111;132789;274;56832;728299;6263;90627;4724;450234;84286;254428;51205;147081;23666;3662;253782;285513;1330;10228;9846;81615;2043;130013;2041;155061;338399;1008;100048912;79054;114134;84660;84894;339761;2921;4905;454;401884;283226;100271506;57674;51435;2565;10913;66037;10404;2580;63976;25902;120892;64231;54805;85453;4815;10895;8934;5819;51338;8938;729075;442524;9108;9451;644150;64321;6622;6346;1191;26766;952;9811;6101;56979;3184;400591;643680;157708;23036;65125;7473;339263;1006;1804;945;100129583;7074;6239;5932;4035;23025
cerebellar ataxia	36	36	0	5173;56652;747;8622;56997;23345;5521;3736;6908;85300;5582;4287;146057;472;10939;146227;2259;3748;255928;785;10528;3708;773;6712;9640;55129;5428;343641;5080;6507;23064;6310;6311;55775;6314;25814
cerebellar diseases	39	39	0	5173;56652;747;8622;56997;23345;5521;3736;6908;85300;5582;4287;146057;472;255928;6311;10939;146227;2259;3748;785;10528;3708;773;6712;64374;55129;9640;5428;54840;343641;5080;6507;23064;6310;2395;55775;6314;25814
cerebrovascular disorders	63	24	39	4524;2717;23209;2934;4538;5583;1636;4535;2153;9445;5144;241;4541;4540;5654;6403;59;3565;1282;2147;1471;51128;351;4854	729075;337880;2921;2565;132789;9037;64321;203238;100271506;100270961;6263;57674;6346;26766;1946;10895;56979;3184;400591;157708;66037;51205;65125;646583;1330;100048912;1495;27072;5308;54805;80036;2043;4815;728299;90627;5932;1008;6101;8938
charcot-marie-tooth disease	30	30	0	2617;1785;5631;59341;26353;54332;3735;121512;8988;1959;3236;4000;3315;5376;4747;1778;7879;9896;81846;79628;2705;4359;10397;23095;16;8898;8565;9516;81857;9927
cholestasis	39	8	31	5244;10165;1723;3930;182;5205;8647;4853	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;23228;8986;6122;7132;51300;23534;4126;6689;388722;1656;133688;3663;5890;23274;22806;4790;647076;3394;3119;3118;4664;643
cholestasis, intrahepatic	39	8	31	5244;10165;1723;3930;182;5205;8647;4853	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;23228;8986;6122;7132;51300;23534;4126;6689;388722;1656;133688;3663;5890;23274;22806;4790;647076;3394;3119;3118;4664;643
chromosome disorders	35	35	0	3827;6495;2736;6496;6736;9126;2657;147912;64324;57194;6899;4204;7050;5727;2138;4487;2033;10743;137814;3481;7020;4239;8243;7337;6469;2332;2334;2314;1028;8481;25836;55997;1387;7546;50937
colitis	83	0	83	3593;375616;2615;8771;7128;147;100271520;2294;23308;7850;257177;150962;4485;400867;728010;3575;55876;2835;2805;2308;4046;3554;3579;1811;124626;343727;3458;8209;3127;1611;8927;100271063;639;51750;327;57511;55765;221416;140717;653437;64170;2859;127281;2768;391282;3586;1738;10171;8204;54546;55722;146198;3663;23252;3577;159296;167826;3132;6550;11315;3172;3717;219771;56946;2212;57154;9923;3394;402569;5734;1601;400935;149233;5307;8764;9966;120400;7422;54361;100129306;9555;54535;1001
colitis, ulcerative	83	0	83	3593;375616;2615;8771;7128;147;100271520;2294;23308;7850;257177;150962;4485;400867;728010;3575;55876;2835;2805;2308;4046;3554;3579;1811;124626;343727;3458;8209;3127;1611;8927;100271063;639;51750;327;57511;55765;221416;140717;653437;64170;2859;127281;2768;391282;3586;1738;10171;8204;54546;55722;146198;3663;23252;3577;159296;167826;3132;6550;11315;3172;3717;219771;56946;2212;57154;9923;3394;402569;5734;1601;400935;149233;5307;8764;9966;120400;7422;54361;100129306;9555;54535;1001
collagen diseases	29	24	5	5176;60681;5479;4920;5352;5351;871;64175;11285;1294;1278;9509;121340;113189;1277;4627;1290;4041;1285;1287;1286;1281;1289;10491	401089;11221;729627;4734;728615
colonic diseases	139	33	108	2778;862;5395;4088;4089;5290;79695;4763;5606;1908;1910;4072;4512;657;324;4595;8929;4092;207;673;7486;5157;8313;1499;2956;7048;2042;27030;4522;4292;5979;4436;2668	3717;167826;100271520;7227;728010;159296;3554;3127;55765;400867;2859;999;6447;5462;7128;3132;149233;5307;4485;57609;85415;4092;23308;257177;150962;2308;4046;3579;3663;343727;3577;51750;57511;221416;140717;64170;127281;6581;2768;3586;8209;8204;54546;55722;23252;2835;219771;3394;5979;643503;7422;100129306;9555;54535;1001;3593;2615;2294;7850;100271596;11221;2805;1738;653437;644540;3458;652;650;3084;375616;639;466;54361;3172;26585;2212;728615;402569;400935;220959;120400;55892;8667;120376;401475;3575;55876;6550;1811;8764;9966;1611;8927;327;100271063;147;8771;391282;3911;10171;146198;5734;11315;9923;56946;1601;124626;57154
colorectal neoplasms	51	29	23	2778;27030;5395;4088;4089;5290;79695;4763;5606;4072;4512;657;324;4595;4092;207;673;7486;5157;8313;1499;2956;7048;2042;862;4522;4292;5979;4436	120376;401475;7227;11221;644540;652;650;4092;6581;3911;466;999;6447;5462;100271596;728615;26585;220959;57609;643503;55892;8667;85415
congenital abnormalities	443	430	15	374654;9289;5824;4000;5828;3854;3852;3853;54507;3858;51062;7046;7048;5264;2316;2314;6654;2312;5307;55997;10804;6591;81839;136647;190;3679;4653;4552;26154;80208;2263;2260;2261;4214;80184;124590;8518;4359;23095;79955;5573;641;57057;4952;2617;122042;242;54880;65055;2737;1908;3295;3293;8195;859;84059;3892;10585;3897;10564;94;5184;8565;5818;55651;157570;132884;6899;5354;5351;57716;91147;5921;1278;79628;4313;23503;1277;8243;8241;2121;1287;1286;1281;1280;4914;1289;54820;80781;1302;5979;1308;121512;5077;1832;3798;1834;643418;23111;10743;4867;126410;6716;10117;1959;9907;6657;4487;3845;3849;3848;80326;4488;57539;1482;54332;5318;1717;6662;6663;5317;83544;64840;11285;585;582;583;8200;4548;4624;4626;4627;10908;8504;9126;9241;9533;2018;3691;7490;341640;182;9401;9409;404672;339829;2626;3872;5894;10397;1910;3284;11235;3887;25861;221421;16;860;3889;2022;2697;7401;3909;26353;3236;5195;3239;5191;5190;5193;10083;118813;9896;9897;51082;51324;8929;775;207;493856;81794;70;392255;6862;2332;78987;5447;79152;9927;1767;83605;8626;123606;9622;3655;7248;1545;80144;26277;547;64093;2705;2657;7399;55036;64072;4239;10683;1829;1824;345895;2068;128674;412;129880;1387;3827;8517;8320;3476;4281;4286;7249;8988;368;84733;367;128178;2668;65217;23414;7021;7020;3315;1837;137814;338917;1641;1643;4750;6770;1723;55636;3759;5376;3753;3757;79659;2200;1589;7092;1586;1584;10913;79188;6683;6687;7291;9509;7849;7846;7840;4838;11005;6299;84100;26580;4524;4522;81857;2516;2736;3868;4088;4089;3861;147912;64327;64324;1896;5728;123016;79840;5727;22954;50846;2033;55172;170302;7476;286077;3914;55212;3918;4920;6736;4792;7337;5830;4010;7405;7507;55670;7508;54903;51314;55505;1785;1786;10142;3329;5192;79147;347733;7050;7051;6640;1778;287;3762;3481;673;1285;265;1293;269;268;3643;65125;3640;2492;4647;8701;79738;2254;2253;988;4893;6452;8139;6901;57194;9990;9992;7879;9496;79809;4803;6262;55135;64446;57514;2073;2072;2071;2074;144165;3265;9313;23314;51057;27019;8898;5080;51422;23389;7546;7547;117581;5339;7015;10558;27241;4747;1736;5784;55640;8820;5781;123872;166379;2334;224;5429;2218;1028;57190;1747;6495;6496;1161;284654;5649;59341;6949;59344;3735;92579;3730;27063;2138;9516;81846;4204;57165;1292;9420;1290;1291;1294;50945;113189;60675;9197;5048;22948;9215;6469;3784;5631;8481;9517;25836;6330;6331;4990;3728;4853;7466;50937	5820;147381;57698;11023;3664;9241;26839;27042;342808;5979;3084;120;56169;339210;139189
congenital disorders of glycosylation	25	25	0	91869;79796;4247;56052;55343;10559;9382;5373;84342;85365;2683;1798;9526;79087;10466;91949;7841;4351;10195;440138;22845;8813;29929;25839;79053
congenital, hereditary, and neonatal diseases and abnormalities	1168	1126	50	374654;3920;593;10564;116519;55343;27286;4023;54840;10516;4306;285362;2652;7306;5824;4000;64446;5828;145226;668;26503;3257;344;3857;3854;23171;3852;3853;54507;3998;8905;919;348;3858;51062;1798;142680;255928;79053;710;7045;146227;7046;114798;7040;1497;6094;6794;10195;5261;6658;2316;2314;6654;2312;5307;2294;1258;55997;10804;2074;5913;6591;81839;594;1080;120227;1121;56052;190;28976;11136;3679;275;4653;5224;4552;3674;2542;26154;80208;80207;2548;79728;11200;51114;2108;26258;29914;2263;2260;2261;2266;1406;8517;64421;4210;8048;9526;57477;124590;8518;26580;4359;6935;4436;9289;23095;4351;23545;23096;5256;55129;493856;11005;4117;55120;85366;5376;6507;36;35;34;23064;1536;57502;57057;3251;2165;3098;435;2161;2160;2162;2617;9733;10142;338;335;242;54880;65055;3868;1908;3295;3291;10020;3293;255738;857;8195;2018;859;6439;9640;6204;6201;7414;84059;653361;7552;3861;7555;2683;54820;3850;112817;51204;84572;5573;6611;374291;340024;4771;378884;1786;2632;95;94;147912;5184;6899;1629;5189;57094;201163;5818;55651;148738;3859;157570;1352;56652;5080;132884;747;80331;3064;6891;6890;55975;768206;8292;6898;51422;3930;5354;5352;5351;5350;91147;6103;6102;5456;6100;5146;5921;1758;51151;1756;388552;1278;79628;4313;79783;57531;3892;23503;1277;3708;4072;8242;8243;5538;4508;339829;1287;1286;1281;1280;948;4914;57716;1289;91662;10908;2538;2539;1476;26260;57158;23020;64072;686;57152;5173;2717;1302;2653;114548;2719;1308;6559;7957;8557;7389;1355;6101;8546;121512;8540;1832;7454;5582;3798;7450;4593;5624;50846;5621;7048;1371;2155;1373;6324;23111;2153;10743;2159;80025;10939;8481;3939;126410;3931;5265;55624;5995;5994;83943;5264;5993;6716;1829;1959;183;6710;9907;3730;10483;7319;2318;7253;22845;3242;92211;6657;203859;3845;10594;343641;825;3848;346007;4488;6567;6329;6855;79955;1244;79659;169792;65266;7139;1482;23418;5498;7036;7038;3981;7134;7137;2068;5251;9380;4728;9382;5255;6662;6663;5317;4723;5314;9570;7276;11281;83544;64840;11285;84233;1075;585;582;583;3748;1738;8754;25814;8200;1134;4548;55800;4624;4625;4626;4627;4541;4540;3918;249;2623;4547;166336;27063;2273;284119;643418;29929;3691;7490;4261;79947;8504;9126;9241;9129;9533;25839;8565;8291;3702;6535;178;641339;175;5979;65125;8241;4538;4539;4942;3690;4535;4536;4537;4948;341640;182;30061;9401;186;6335;185;2110;9409;404672;3081;5781;1285;1123;2626;10157;3872;10159;5892;5894;10661;5896;10397;9622;3284;11234;6330;4669;2334;138050;3887;25861;55065;4154;221421;16;19;27032;50617;3889;27034;60681;100505503;2022;28956;2697;84062;254065;55145;2693;10491;2690;54982;189;2592;3909;23345;4763;5213;84839;10577;10479;657;4166;3236;389434;24140;356;10084;5194;3239;5191;5190;5193;5192;118813;90167;9896;1471;51082;324;3988;8842;5077;29954;8929;775;2629;204;207;779;778;1340;1290;7102;2979;81794;70;392255;6862;57817;2332;80781;78987;1594;7508;3028;5447;6135;79158;843;3074;1760;51314;1767;26353;83605;1140;11141;1593;1144;1145;8625;8626;5897;8622;5095;215;22999;123606;23230;3655;7248;2956;5176;1545;9203;525;4901;80144;2664;11235;26277;540;546;547;79152;2244;2245;64093;2243;7391;7390;5063;1294;2705;2657;2707;2706;7399;6338;50964;84733;6444;6445;6442;6443;4239;10683;7249;64374;6448;5428;6337;7443;4041;6569;1828;89781;1824;345895;7439;2147;6310;2799;410;411;412;860;129880;4976;1387;3827;3949;443;5395;4214;22954;3373;6708;10128;8443;83959;7405;8320;8322;7369;3476;4281;4286;4287;5091;5092;4126;5096;8988;80184;9782;368;55036;367;128178;6440;5009;2668;24;54657;2760;3141;1509;8106;54658;65217;23414;7021;383;445;3315;84061;388939;10585;4758;785;1641;1834;1643;1729;4750;7401;6777;6770;1723;55636;7020;8813;5972;6218;9968;3759;6495;146057;3614;3753;2290;3757;7592;4633;6496;3000;4634;116442;55812;1161;2200;2203;7092;6326;7157;2071;1586;4983;1584;1585;2157;10913;56606;4247;79188;27329;6683;2055;6687;3145;137814;9509;2582;2581;338917;2588;5961;10312;23133;30008;8074;6521;7486;7849;6524;64175;6528;5654;7846;7841;7840;4838;4935;6299;59341;84100;2158;6295;4524;4522;4688;2892;56997;2109;6197;1103;81857;26121;2516;2517;5521;1513;783;91869;2736;2737;2639;2731;10002;4088;83394;10165;3860;10008;91949;57096;64327;64324;256471;9180;653509;5889;1896;23224;5053;641;5728;123016;79840;2121;440138;5145;875;5727;871;6223;2035;4591;2033;488;4595;55172;4598;6229;7474;7476;2038;286077;959;3914;493753;55212;4204;55215;10466;4952;6389;4920;672;6736;10461;2132;10528;4792;7337;5837;51251;154881;5830;5831;4010;4015;4014;7504;5195;355;7507;55775;57514;950;55670;91624;4221;7168;54903;9927;170302;55505;212;213;210;762;760;1785;1910;4125;5476;8573;122042;6121;10210;285489;10117;3329;3043;10083;5148;5479;79147;347733;6712;7050;7051;6640;1778;5373;2138;9897;4867;1675;51778;287;57167;3762;121340;3481;675;57165;7291;673;3561;265;1293;286;269;268;3643;51324;3640;2998;6010;6311;3039;6017;2990;2492;51;4647;2997;8701;79738;37;2259;2254;2253;538;2778;5160;988;24148;4893;1589;4487;26119;9499;6452;8139;6901;57194;5660;9990;9992;7879;9997;6908;79809;6519;4803;6262;773;55135;5167;6514;2177;3077;2395;2176;5836;2175;2073;2072;2178;10021;6314;427;1259;3815;127534;4864;6834;3849;144165;3265;6125;8450;9313;80326;64218;130557;847;7273;51057;27019;841;8898;57539;2978;4292;2670;149998;7421;23389;50506;7546;7547;5158;117581;118429;1861;10555;90411;6606;6607;5339;6609;7015;6165;10558;10559;27241;2010;1634;347344;1636;22948;4069;4747;5236;1736;5784;55640;8820;84342;84343;65109;123872;9215;5860;405753;2815;375298;6469;728458;1837;166379;79087;2182;2812;3073;2187;3075;229;2184;25794;4607;2189;224;7080;1027;5429;125972;57192;1184;2218;1029;1028;1180;3897;57190;51128;1747;158866;1741;4089;128674;79796;7287;9459;284654;2235;1201;1200;1203;136647;5649;54332;6949;2584;59344;3736;3735;92579;30813;1893;6341;6340;4519;3040;2131;4512;4513;146059;4514;8671;25836;81846;9496;8675;7299;1292;9420;200576;1291;1296;4689;85365;23314;5162;10075;84140;2720;50945;113189;50943;23218;5318;60675;9197;5048;1717;9094;462;26504;5257;1807;1806;3786;3784;3785;3423;4853;3420;5631;3425;7466;472;50939;9517;9516;2006;6331;4990;3728;4854;6231;79803;50937	2615;56169;81794;5017;9241;338376;147381;5649;7117;8398;116085;5820;54875;84871;40;284382;342808;100132286;114182;56606;3084;7536;5289;3664;79667;57698;120;26839;6446;4507;359775;11127;7092;388698;51074;91056;6014;27042;56946;11023;2895;2312;139363;5979;5871;257397;339210;53940;139189;7547
connective tissue diseases	215	78	146	6583;1493;875;5176;60681;5351;4893;3373;23545;23592;4015;3309;10516;4669;10125;5479;4282;4920;5352;1773;5133;26191;121340;871;1294;5781;368;5894;3845;64175;11285;3569;115352;1278;2213;7292;9509;4277;3663;2720;113189;30008;1277;7100;11277;23569;81794;4627;91;4795;2588;1290;6448;4041;1285;138050;1287;1286;1281;2200;5831;2990;6775;100293534;6654;1289;3425;3684;3423;2799;2006;411;720;721;55024;673;1380;10491	100131609;7128;9071;3132;9474;259308;10340;11118;696;100130988;23;3122;3123;3120;3127;3559;10665;267014;267015;267016;389715;387046;352961;115509;286016;717;387122;1797;3135;200734;1493;23569;167826;389203;401089;8870;4734;344423;164832;729627;25780;84547;55024;56244;55937;10320;64288;221527;100270827;3684;79722;78994;54899;7917;919;730070;1656;100189529;5966;1235;3663;100130756;170679;11120;645950;353011;259197;57661;780;3394;26147;6775;79692;3092;640;387117;83648;629;100189539;2294;7918;394263;8341;3009;7916;11221;23534;474354;3516;394254;3899;26191;2113;6366;10919;375616;349158;4277;4276;639;80760;29113;121260;7148;135656;4439;728615;1997;344462;221584;57705;3687;1460;57176;100129192;10318;285834;54665;63940;7292;729816;11181;5211;6941;283165;958;57713;11170;3106;326;150221;414777;90355;81797;7332;3119;3118;3117;3115;3113;3112;8859;7741;29777;4855;7185
coronary artery disease	43	5	38	84159;7015;4040;8997;4205	217;79659;6597;65264;55973;6943;6387;114036;653163;9992;51530;11173;28;8882;80310;8613;221692;23294;23293;63951;10400;100130239;10151;84439;375056;54805;100271444;100048912;1952;22808;1284;4018;84722;1282;10743;57608;3988;55759
coronary disease	50	6	44	4040;948;8997;84159;7015;4205	51530;217;79659;6597;65264;56996;55973;6943;1874;114036;653163;9992;79660;11173;28;8882;8658;80310;8613;25902;221692;23294;23293;63951;10400;100130239;10151;84439;375056;54805;100271444;100048912;1952;283849;22808;1284;4018;84722;1282;10743;6387;57608;3988;55759
cranial nerve diseases	38	33	6	56652;668;50484;1123;57094;4519;4538;4539;6261;80207;4535;4536;4514;57167;9150;55605;493856;4771;4541;4540;11232;4508;5428;4935;5080;64221;4137;90167;4512;84233;4976;7466;291	3662;4336;9451;4137;10228;926
craniofacial abnormalities	44	44	0	2736;6496;1302;4088;9533;6949;6452;6899;5728;7050;5727;4893;9401;2033;5781;2263;2260;51082;7291;50945;2657;673;7046;3265;10683;8241;3643;7048;23314;137814;6469;3481;860;6654;8481;4487;3845;55997;2697;5894;1387;4488;7546;50937
crohn disease	107	1	107	64127	1788;3717;345611;10067;23046;56677;6122;728010;120892;2524;100130988;11262;55054;3559;11116;134288;25824;544;163486;80315;677;84624;441108;253430;100271063;149233;4485;157638;10320;8600;5155;23308;150962;100271352;343727;8209;8807;6304;64170;63027;3586;5820;8204;56984;8453;2646;5771;283234;10221;8863;85027;6774;9966;284358;64167;3593;2615;56169;100271600;2297;5334;2805;131096;84619;339479;64407;7297;1201;100271305;647215;80762;359779;7332;6354;326275;159296;144811;57178;746;4088;56301;55876;1050;6347;356;26191;60468;8927;3976;22891;147;91975;10171;134008;55600;117289;5734;56946;1601;8477;8995;124626;64127;91272;54901;639;63892
death	26	7	19	3764;7259;54738;859;23171;11216;6331	3781;390345;2581;23768;6662;11278;284217;2890;100128390;84441;98;64848;79822;151126;284252;100271434;2099;22822;29994
death, sudden	26	7	19	3764;7259;54738;859;23171;11216;6331	3781;390345;2581;23768;6662;11278;284217;2890;100128390;84441;98;64848;79822;151126;284252;100271434;2099;22822;29994
death, sudden, cardiac	20	1	19	11216	3781;390345;2581;23768;6662;11278;284217;2890;100128390;84441;98;64848;79822;151126;284252;100271434;2099;22822;29994
dementia	51	25	27	54664;23209;5664;5663;3064;5071;6622;7305;4535;4536;5621;348;54209;9445;2629;23435;5654;9627;55103;25978;2896;4137;351;4854;4973	9108;339761;10452;274;8301;283226;10347;338399;1191;51435;344558;5621;643680;10913;25902;4862;1378;341;23607;9846;23036;64231;2041;79031;945;5819;51338
demyelinating autoimmune diseases, cns	109	4	105	3575;100133941;5788;5428	100131609;100130889;5747;401250;5820;100189469;3122;10892;3120;3127;3559;10665;267015;267016;352961;678;868;717;54207;677;5460;3132;4234;131368;79970;554251;5594;6565;2315;921;923;56244;199;10538;352997;116935;221527;6148;8449;253018;4280;23498;170679;23095;359758;7148;3394;6774;3123;644020;54536;3593;56169;629;2294;8320;7919;353002;7917;7916;7412;27120;3087;10919;4277;4276;160365;1594;1591;11262;64332;8477;965;54806;5341;5796;7936;729816;6891;2135;3109;3106;3107;60468;5491;8740;22898;147;387122;116379;440836;53832;117289;10461;152100;84769;1041;3119;3118;3117;7132;942;3112;148867;4855
demyelinating diseases	128	23	105	215;1786;5660;100133941;10558;5354;3575;5376;547;65125;5788;51062;2581;443;8518;4803;95;5428;4914;51;2670;9517;410	100131609;100130889;5747;401250;5820;100189469;3122;10892;3120;3127;3559;10665;267015;267016;352961;678;868;717;54207;677;5460;3132;4234;131368;79970;554251;5594;6565;2315;921;923;56244;199;10538;352997;116935;221527;6148;8449;253018;4280;23498;170679;23095;359758;7148;3394;6774;3123;644020;54536;3593;56169;629;2294;8320;7919;353002;7917;7916;7412;27120;3087;10919;4277;4276;160365;1594;1591;11262;64332;8477;965;54806;5341;5796;7936;729816;6891;2135;3109;3106;3107;60468;5491;8740;22898;147;387122;116379;440836;53832;117289;10461;152100;84769;1041;3119;3118;3117;7132;942;3112;148867;4855
diabetes mellitus	228	39	198	6833;9479;3636;23101;3630;8462;4760;5078;11132;5506;6927;3651;3557;493856;6648;1636;4535;3559;6517;57104;55315;1234;3667;346171;5167;9370;64135;10019;1493;6934;3077;3172;3643;256297;5444;640;7422;7466;6928	100131609;1236;10296;8622;9861;8549;26471;80737;80736;3767;400223;22836;22837;442257;643550;57827;3122;3123;3120;3127;7054;54602;10666;63951;283460;267015;267017;54901;352961;145741;8638;3481;5144;1797;9374;10529;23274;1493;84991;3132;246778;64375;9905;29121;723961;3304;7919;5696;128486;340460;56244;2065;139716;55328;57118;388125;169792;55323;116935;221527;60685;253013;10239;3305;5491;340598;4439;1852;55423;389203;6821;100130239;285600;3586;56984;89822;100271203;136259;8567;6934;5771;440387;100271597;378805;5122;4758;166336;7148;114904;79068;9559;53335;389840;644020;54536;56999;140902;30011;79571;629;729611;6605;283598;100271271;10253;100270925;7917;7916;23242;339799;22979;80069;10665;2888;3559;3516;4544;387103;204010;115352;1504;6048;5789;25865;53347;4277;4276;7297;10644;64135;84898;10019;2184;3667;116985;3172;3087;94241;58504;3119;5184;83795;6753;55384;969;8935;100270827;6480;1512;388011;54665;3630;729816;6891;6890;55876;9055;10363;4008;3109;9223;26191;3107;60468;221895;168850;717;266722;2745;3976;100271063;63826;10554;26797;54469;6231;100271600;645345;7103;677828;169026;3784;3118;3117;84162;3112;135154;5937;8859;8872;430;80018;57624;4855;399716;4853;7466;63892
diabetes mellitus, type 1	120	13	112	1234;493856;346171;55315;64135;7466;10019;1493;3559;3630;6927;3172;5078	100131609;1236;84991;26471;80737;80736;400223;442257;57827;3122;3123;3120;3127;7054;10665;10666;267015;267017;352961;717;1797;9374;23274;1493;3132;246778;64375;29121;10554;5696;56244;2065;6605;55328;169792;116935;221527;100270827;3304;3305;5491;4439;55423;389203;6821;723961;3586;56984;100271203;5771;440387;4758;7148;114904;644020;139716;430;100271600;629;7919;3559;283598;100271271;100270925;7917;7916;23242;22979;80069;3516;387103;115352;1504;6048;25865;53347;4277;4276;7297;64135;10019;6753;55384;969;8935;1512;388011;54665;3630;729816;6891;6890;55876;4008;3109;26191;3107;60468;3481;3976;100271063;26797;3119;3118;3117;6231;3112;8859;80018;4855;84162;399716
diabetes mellitus, type 2	97	23	77	6833;9479;3636;23101;3630;8462;4760;5078;11132;5506;6927;3651;4535;6517;57104;3667;5167;9370;6934;3172;3643;640;6928	56999;4544;57118;6480;388125;169792;79571;55323;10296;3667;8622;8567;83795;729611;8549;54469;340460;60685;10239;9223;10253;10363;22837;63826;9559;339799;643550;340598;2888;7297;221895;168850;54602;204010;63951;283460;3087;5789;9055;100130239;145741;677828;8638;10644;116985;89822;136259;645345;3767;9905;6934;2184;9861;3172;140902;100271597;169026;378805;5122;94241;166336;8872;3784;5184;7466;54901;128486;135154;5937;53335;7103;79068;57624;4853;1852;54536;63892
digestive system diseases	431	123	318	3717;345611;210;115908;7389;3659;11231;212;5824;5828;55054;1371;540;2153;2316;1316;675;4595;999;3930;672;673;1493;1499;3643;7048;5265;149233;6657;51119;6390;6391;3030;6392;3845;4481;2064;84701;2778;862;5395;1080;5157;5156;5606;5498;4650;3587;79728;51201;2668;3663;3815;3588;2042;2272;5244;1723;4293;4292;5979;57509;51741;6833;8504;4436;1908;6927;7157;182;657;843;1033;9409;6049;10019;7486;3077;1910;2956;6299;27030;4522;4072;4233;9940;6690;3145;6794;4088;4089;10165;5290;79695;4763;5243;4613;1890;5644;1056;51008;4512;3431;11178;5190;5193;5192;324;2746;8929;4092;207;5205;8312;8313;5830;2235;5195;64127;55670;8647;23022;4853	100129176;1788;3717;8927;345611;7128;217;23046;91975;3132;2615;4026;8986;7227;6122;728010;643;359779;10067;2524;3554;347730;100130988;6447;57707;9173;3120;55054;3127;3559;11116;25949;134288;25824;8807;544;55765;163486;267015;25943;29117;400867;2859;85480;356;5144;677;999;26839;84624;120;23274;5996;441108;125;167826;11273;8125;80724;728615;253430;5619;5820;149233;9681;2835;400935;2494;5307;4485;57609;6311;25817;3123;157638;85415;51074;64170;53942;2903;10320;100129017;100270859;387934;4092;8600;5155;91828;23308;7032;2768;150962;100271352;56984;3676;2308;4046;3579;222643;5796;343727;6304;3577;51196;4126;5562;51750;388722;57511;59067;221416;85407;140717;1656;8809;54546;100132382;127281;1201;63027;1230;55892;3586;1233;55722;8204;8667;1050;50863;55600;65992;23252;8453;2646;9844;5771;431704;100271596;2834;23095;10221;8863;359758;3394;5734;6774;359750;3558;389015;9966;643503;284358;57057;11262;100129306;9555;54535;1001;64167;3593;3592;56677;56169;4664;3595;100271600;28;133690;2297;283450;2294;23406;7850;5334;64224;116028;150280;11221;2805;131096;1738;257177;644540;282616;3458;100271520;100132286;8209;8690;282617;6689;26137;571;652;3704;650;84619;91526;2113;112744;23534;375616;133688;339479;64407;4276;159296;7297;639;466;100271305;10391;10018;54361;653437;80762;22806;5898;120892;3172;64939;326275;11278;2212;6354;5341;402569;7031;861;220959;283234;85027;864;647215;63877;3117;120400;1452;144811;57178;944;2829;3084;746;4088;3113;120376;56301;5979;401475;23228;64241;64240;56946;55876;57396;647201;51300;7132;6550;1811;6347;124626;11200;26191;60468;1611;80315;266722;327;26585;3976;22891;29851;10477;7422;147;8771;391282;3911;2720;10171;134008;146198;117289;387495;25769;219771;5462;3663;11315;100271531;4790;647076;57497;5890;57154;1803;7332;3119;3118;1601;54901;3115;79258;8477;100271063;8995;8764;64127;3575;57514;100271015;9923;84162;6581;91272;63892
