# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
autoimmune diseases	363	68	311	6583;10558;1145;147409;1786;190;5078;3309;100133941;6927;5133;10125;4282;4803;115352;1773;356;50943;26191;5376;2743;3559;2741;83737;55315;326;547;65125;5788;51062;1234;2213;7292;346171;720;3663;8518;1134;7100;355;10019;11277;23569;64135;3702;4795;3172;1285;843;5428;841;7253;4277;6775;100293534;3569;5573;3684;3575;9517;1493;3630;721;55024;2516;54414;1380;4914	100131609;7128;9071;3132;84991;60468;7917;26471;5747;80737;80736;10340;400223;3710;401250;11118;442257;4234;696;100130988;23;3122;10892;3120;1591;3127;7054;11116;10665;10666;78994;407977;723961;267014;29113;267016;267017;389715;387046;352961;115509;678;286016;3481;54207;8635;677;1797;9374;3135;23274;200734;1493;23569;9474;167826;389203;246778;100189469;64375;79970;8870;100271063;554251;5594;29121;646702;6565;344423;2315;164832;10554;25780;5696;3123;84547;55024;55584;923;56244;2065;259308;55937;10320;55328;199;64288;169792;6821;10538;352997;116935;221527;388011;387122;100270827;399;6148;8449;267015;449492;449493;4280;283598;3663;79722;8935;54899;10255;3087;353006;55423;6311;919;90355;730070;1656;100189529;5966;1235;1236;23498;3586;5820;9526;56984;170679;100271203;11120;645950;921;26797;57827;150280;23095;353011;259197;4758;359758;7292;7148;3394;26147;4295;6775;79692;3092;640;387117;11262;644020;139716;430;3593;7297;56169;80862;100271600;629;9844;100189539;8741;2294;8320;5771;7919;7918;83648;6605;394263;100271271;353002;8341;100270925;3009;440387;23242;7412;22979;23534;80069;474354;965;7936;3516;394254;387103;11170;3899;7916;115352;26191;100130756;27120;6665;2113;6366;10919;375616;57661;349158;4277;1504;160365;639;4279;64135;131368;1594;10019;57176;80760;3075;64332;121260;780;8477;6048;7132;114904;868;54806;4439;5341;1997;344462;221584;6753;3118;3687;969;3684;6774;51646;3116;22925;25865;1512;10318;285834;53347;54665;63940;8897;3630;729816;6891;6890;11181;5211;81606;2914;6941;283165;55876;3304;4276;4008;958;57713;3305;3109;3106;3107;100130889;53832;5491;8740;717;22898;135656;326;3976;253018;150221;150223;147;5796;55384;116379;414777;440836;1460;117289;3559;2135;81797;10461;152100;84769;1041;7332;3119;5460;3117;84162;100129192;7253;942;3112;148867;8859;7741;54536;80018;57705;29777;4855;6231;7185;399716
autoimmune diseases of the nervous system	123	18	105	4803;5428;1145;3575;4914;5376;2743;8518;1134;2741;9517;547;100133941;1786;5788;65125;10558;51062	100131609;100130889;5747;401250;5820;100189469;3122;10892;3120;3127;3559;10665;267015;267016;352961;678;868;717;54207;677;5460;3132;4234;131368;79970;554251;5594;6565;2315;921;923;56244;199;10538;352997;116935;221527;6148;8449;253018;4280;23498;170679;23095;359758;7148;3394;6774;3123;644020;54536;3593;56169;629;2294;8320;7919;353002;7917;7916;7412;27120;3087;10919;4277;4276;160365;1594;1591;11262;64332;8477;965;54806;5341;5796;7936;729816;6891;2135;3109;3106;3107;60468;5491;8740;22898;147;387122;116379;440836;53832;117289;10461;152100;84769;1041;3119;3118;3117;7132;942;3112;148867;4855
bacterial infections	39	10	29	3593;8517;3460;55851;3459;6772;5663;1536;23385;3594	3127;168507;124460;3128;79747;1540;3122;3123;9966;10878;734;646583;5932;352961;4277;80099;6299;3119;3118;3117;55744;400757;149233;8767;64127;121838;144811;160857;56244
bacterial infections and mycoses	43	14	29	3593;8517;64581;3460;55851;23765;3459;112744;6772;5663;1536;23385;3594;64170	3127;168507;124460;3128;79747;1540;3122;3123;9966;10878;734;646583;5932;352961;4277;80099;6299;3119;3118;3117;55744;400757;149233;8767;64127;121838;144811;160857;56244
basal ganglia diseases	66	27	42	55737;7345;23400;3064;23636;6622;11315;5071;1981;540;7054;26058;80025;8398;2629;1861;83943;80704;27429;120892;9627;25793;114798;4137;65018;55145;2512	162540;114134;2580;442524;84660;450234;57111;454;9451;9811;644150;401884;92949;6622;100129583;3122;4724;952;4905;84286;254428;29119;147081;7473;339263;23666;3662;4336;253782;285513;10228;100128646;120892;27074;81615;130013;56922;4137;8934;6239;1006;926
behcet syndrome	33	0	33	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;285829;387122;170679;3135;267015;353010;353011;8870;780;149233;170680;10866;54535
bile duct diseases	44	8	36	5244;10165;1723;3930;182;5205;8647;4853	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;23228;8986;6122;7132;51300;23534;4126;6689;388722;1656;100132382;133688;3663;26839;5890;23274;10018;22806;4790;647076;120;3394;3119;3118;4664;4485;643
biliary tract diseases	61	8	53	5244;10165;1723;3930;182;5205;8647;4853	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;64241;23228;8986;6122;100271352;64240;7132;51300;23534;4126;8690;6689;266722;388722;64939;57396;1656;100132382;133688;3663;120;26839;50863;387495;23274;10018;8453;22806;5898;100271531;4790;91526;647076;5890;1803;3394;3119;3118;4664;359750;4485;643;25769;53942
blood coagulation disorders	40	40	0	3717;11093;8546;3674;7454;7450;5627;79803;5624;90411;3257;2155;2157;26258;84343;2153;2244;1675;2266;2159;388552;2815;2812;3998;462;3075;11234;2158;948;89781;7066;2147;3690;2677;2165;84062;2243;2161;2160;2162
blood coagulation disorders, inherited	36	36	0	8546;3674;7454;7450;3690;79803;5624;90411;3257;2155;2157;26258;84343;2153;2244;1675;2266;2159;388552;2815;2812;3998;462;3075;23218;11234;948;89781;2158;2147;2165;84062;2243;2161;2160;2162
blood platelet disorders	28	28	0	3717;11093;629;4179;8546;3674;7454;3690;84930;79803;2812;7056;3257;26258;84343;388552;2815;718;54205;23218;3075;11234;948;89781;7066;3426;84062;81494
blood protein disorders	22	20	2	959;958;974;973;695;5627;5624;3662;7374;56262;83417;462;7468;4094;595;4598;2261;3543;29760;57379	8701;54986
body weight	21	7	15	8431;4160;5443;3952;181;7352;5468	60467;4685;9369;79068;4094;3778;497258;100189470;83657;5079;4160;2509;140464;442216;400652
bone diseases	179	128	53	5176;760;8022;23592;5745;7227;60681;8540;5479;7058;1836;4148;4982;3977;28962;142680;1311;121340;50964;3248;7040;10682;10683;3339;2260;6399;7253;2316;8878;415;1387;4488;8483;2778;57539;169792;120227;8600;1482;6452;8443;7038;5251;4041;4049;1513;2263;64175;64840;9469;2074;8200;9842;4758;2254;4750;6777;2261;7421;54829;50506;1299;9241;9533;79659;2200;8820;9401;2688;405753;7291;10312;84572;9451;1594;7124;6528;7080;100507436;59341;1186;860;1184;2697;2693;2692;10491;2690;2737;132884;1161;139285;8074;64327;6949;5728;2132;5352;2131;3239;5191;5727;871;1298;4591;2033;51082;8675;1758;7474;1297;1278;4313;207;5167;4318;1277;81794;392255;8792;389434;2121;1280;5447;8481;79158;57192;4853	3593;150538;10678;23046;79574;79577;390283;100271278;9755;22918;9658;389136;4276;51752;10085;100169835;3107;7056;196527;200728;25949;23657;4982;10660;10584;267015;652411;5966;501;147;3837;729816;391282;10133;952;8792;351143;100270956;4055;1435;149233;864;25978;344423;51059;10758;205327;54510;8707;3844;100129584;400867;284274
bone diseases, developmental	104	104	0	5176;760;8022;23592;5745;7227;60681;8540;5479;1836;4148;1299;28962;1311;121340;50964;7040;10682;10683;3339;2260;6399;7253;2316;415;1387;4488;2778;1278;169792;8600;1482;6452;8443;7038;4041;1513;2263;64175;64840;9469;2074;8200;9842;2254;4750;6777;2261;50506;9241;9533;79659;2200;8820;9401;2688;405753;7291;10312;6528;7080;59341;1186;860;2697;2693;2692;10491;2690;2737;132884;1161;139285;9451;64327;6949;5728;2132;5352;2131;3239;5191;5727;871;1298;4591;2033;51082;3977;7474;1297;57539;4313;207;1277;81794;392255;8792;389434;2121;1280;5447;8481;4853
