BioGRIDInteractionID	EntrezGeneID_InteractorA	EntrezGeneID_InteractorB	BioGRIDID_InteractorA	BioGRIDID_InteractorB	SystematicName_InteractorA	SystematicName_InteractorB	OfficialSymbol_InteractorA	OfficialSymbol_InteractorB	Synonyms_InteractorA	Synonyms_InteractorB	ExperimentalSystem	ExperimentalSystemType	Author	PublicationSource	OrganismID_InteractorA	OrganismName_InteractorA	OrganismID_InteractorB	OrganismName_InteractorB	Throughput	Score	Modification	Qualifications	Tags	SourceDatabase	SWISSPROTAccessions_InteractorA	TREMBLAccessions_InteractorA	REFSEQAccessions_InteractorA	SWISSPROTAccessions_InteractorB	TREMBLAccessions_InteractorB	REFSEQAccessions_InteractorB	OntologyTermIDs	OntologyTermNames	OntologyTermCategories	OntologyTermQualifierIDs	OntologyTermQualifierNames	OntologyTermTypes
692396	1497091	7329	1678317	113177	HhV6Bgp095	LA16c-358B7.1	U95	UBE2I	-	C358B7.1|P18|UBC9	Two-hybrid	physical	Tomoiu A (2006)	PUBMED:17005699	32604	Human Herpesvirus 6B	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q9QJ12	-	NP_050270	P63279	B0QYN7|A8K503	NP_003336|NP_919236|NP_919237|NP_919235	-	-	-	-	-	-
734278	1497087	7341	1678313	113188	HhV6Bgp091	OK/SW-cl.43	U90	SUMO1	-	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	Affinity Capture-Western	physical	Gravel A (2002)	PUBMED:11901159	32604	Human Herpesvirus 6B	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q77PU6	-	NP_050266	P63165	A0A024R3Z2	NP_001005782|NP_001005781|NP_003343	-	-	-	-	-	-
2347266	1497013	7157	1678239	113010	HhV6Bgp020	-	U14	TP53	-	BCC7|LFS1|P53|TRP53	Affinity Capture-MS	physical	Mori J (2015)	PUBMED:26340541	32604	Human Herpesvirus 6B	9606	Homo sapiens	High Throughput	-	-	-	-	BIOGRID	Q9QJ49	-	NP_050195	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-
2347267	1497013	51366	1678239	119501	HhV6Bgp020	-	U14	UBR5	-	DD5|EDD|EDD1|HYD	Affinity Capture-MS	physical	Mori J (2015)	PUBMED:26340541	32604	Human Herpesvirus 6B	9606	Homo sapiens	High Throughput	-	-	-	-	BIOGRID	Q9QJ49	-	NP_050195	O95071	E7EMW7	NP_056986|NP_001269802	-	-	-	-	-	-
